,Model,Precision,Recall,F1-Score,Accuracy,Method,System_Prompt,Query_Template,Examples_Method,Temperature
899,GEMMA2-27B,0.346,0.3059,0.2974,0.5108,zero-shot,2,2,,0.5
900,GEMMA2-2B,0.3869,0.3516,0.2969,0.3381,one-shot,3,2,1,1.0
901,QWEN2,0.4557,0.32,0.2966,0.3237,one-shot,3,1,2,1.0
902,LLAMA3.1,0.454,0.2687,0.2966,0.4964,one-shot,3,1,2,1.0
903,PHI3.5_MINI,0.4016,0.3212,0.2963,0.3669,zero-shot,2,2,,0.5
904,MISTRAL_NEMO,0.4296,0.2592,0.2961,0.4892,one-shot,1,2,1,0.5
905,PHI3.5_MINI,0.3481,0.3109,0.296,0.295,one-shot,1,1,2,0.5
906,LLAMA3,0.4704,0.2755,0.2958,0.5252,zero-shot,1,2,,1.0
907,PHI3.5_MINI,0.3805,0.3201,0.2957,0.3381,few-shot,3,1,1,0.5
908,QWEN2,0.3894,0.3197,0.2957,0.3597,many-shot,2,2,1,1.0
909,GEMMA2-27B,0.3823,0.3076,0.2957,0.5036,zero-shot,1,2,,1.0
910,LLAMA3,0.4337,0.3574,0.2953,0.2734,one-shot,3,1,1,0.0
911,LLAMA3,0.4174,0.3291,0.2948,0.3741,few-shot,3,2,1,0.2
912,LLAMA3.2_3B,0.3087,0.3094,0.2946,0.4388,few-shot,3,2,2,0.2
913,LLAMA3.1,0.355,0.2713,0.2946,0.4676,many-shot,1,1,2,0.0
914,LLAMA3,0.4261,0.2636,0.2943,0.3813,one-shot,1,1,2,0.0
915,LLAMA3,0.3729,0.2721,0.2942,0.4388,one-shot,3,1,2,0.2
916,MISTRAL_NEMO,0.5766,0.2844,0.2942,0.5396,one-shot,3,1,1,0.2
917,PHI3.5_MINI,0.3933,0.3277,0.294,0.3525,many-shot,3,1,1,0.0
918,LLAMA3.2_3B,0.379,0.3514,0.2936,0.3309,many-shot,2,2,1,0.0
919,PHI3.5_MINI,0.3416,0.3577,0.2936,0.3453,many-shot,2,1,2,0.2
920,GEMMA2-2B,0.4214,0.309,0.2933,0.3237,few-shot,2,1,2,0.0
921,PHI3.5_MINI,0.4522,0.2832,0.2931,0.3309,few-shot,3,2,1,0.2
922,MISTRAL_NEMO,0.4549,0.2968,0.2928,0.4676,zero-shot,3,2,,0.0
923,PHI3.5_MINI,0.3038,0.3254,0.2927,0.3957,one-shot,3,1,2,1.0
924,MISTRAL_NEMO,0.3502,0.2825,0.2927,0.3813,many-shot,1,2,1,0.0
925,MISTRAL_NEMO,0.3561,0.2886,0.2922,0.295,many-shot,2,2,1,0.5
926,LLAMA3.2_3B,0.3049,0.3072,0.292,0.5396,many-shot,1,2,2,0.2
927,LLAMA3.2_3B,0.3049,0.3072,0.292,0.5396,many-shot,1,2,2,0.0
928,GEMMA2-2B,0.3614,0.3779,0.2918,0.3669,few-shot,1,1,1,0.2
929,PHI3.5_MINI,0.3431,0.3044,0.2911,0.3669,few-shot,2,2,2,0.5
930,LLAMA3.2_3B,0.448,0.3186,0.2904,0.2734,zero-shot,1,2,,0.0
931,PHI3.5_MINI,0.3826,0.3054,0.2903,0.3381,few-shot,3,1,1,1.0
932,LLAMA3,0.3401,0.3257,0.2901,0.4964,zero-shot,1,1,,0.0
933,QWEN2,0.3465,0.3459,0.29,0.3237,zero-shot,1,1,,0.2
934,QWEN2,0.4818,0.3296,0.2899,0.2878,few-shot,3,1,1,1.0
935,LLAMA3.2_3B,0.3387,0.2768,0.2898,0.4964,one-shot,1,1,2,0.0
936,PHI3.5_MINI,0.3743,0.3125,0.2897,0.3453,many-shot,2,2,1,0.5
937,LLAMA3.2_3B,0.3459,0.3294,0.2893,0.3525,few-shot,1,2,1,1.0
938,LLAMA3.2_3B,0.4823,0.3647,0.2888,0.3669,one-shot,1,2,1,0.5
939,MISTRAL_NEMO,0.5365,0.3164,0.2887,0.4604,one-shot,2,1,1,0.5
940,LLAMA3,0.3978,0.3103,0.2886,0.3525,few-shot,3,1,1,0.5
941,PHI3.5_MINI,0.3509,0.3157,0.2884,0.3165,many-shot,1,1,2,0.2
942,LLAMA3.1,0.3742,0.3008,0.2884,0.3957,many-shot,1,2,2,1.0
943,QWEN2,0.3501,0.3439,0.2883,0.3165,zero-shot,1,1,,0.0
944,MISTRAL_NEMO,0.3677,0.3604,0.2883,0.4173,few-shot,3,1,1,1.0
945,LLAMA3.2_3B,0.6823,0.3412,0.2882,0.2158,few-shot,1,1,1,0.0
946,LLAMA3.1,0.4137,0.2738,0.2875,0.4676,zero-shot,1,2,,1.0
947,MISTRAL_NEMO,0.3616,0.2607,0.2875,0.3813,many-shot,1,2,1,0.2
948,GEMMA2-2B,0.316,0.299,0.2873,0.3669,zero-shot,3,1,,1.0
949,PHI3.5_MINI,0.3223,0.3291,0.2872,0.3453,many-shot,3,2,1,1.0
950,PHI3.5_MINI,0.3698,0.3099,0.2867,0.3381,few-shot,3,1,1,0.2
951,LLAMA3.2_3B,0.2969,0.305,0.2866,0.4892,many-shot,1,2,2,1.0
952,LLAMA3.1,0.4208,0.2693,0.2864,0.4676,zero-shot,2,2,,0.2
953,GEMMA2-2B,0.374,0.322,0.2864,0.259,one-shot,1,1,1,0.5
954,LLAMA3.1,0.4269,0.2601,0.2861,0.4892,one-shot,1,1,2,1.0
955,LLAMA3,0.3626,0.2668,0.2861,0.4101,one-shot,3,1,2,0.5
956,LLAMA3.2_3B,0.3519,0.2784,0.286,0.4748,one-shot,2,2,2,0.5
957,PHI3.5_MINI,0.3357,0.3161,0.2857,0.3022,one-shot,2,1,2,0.0
958,MISTRAL_NEMO,0.3479,0.3508,0.2855,0.3597,many-shot,1,2,2,1.0
959,LLAMA3.2_3B,0.3514,0.2791,0.2854,0.5324,few-shot,1,2,2,0.5
960,GEMMA2-2B,0.364,0.3516,0.2851,0.3813,few-shot,3,1,2,0.0
961,LLAMA3,0.3361,0.3217,0.2849,0.482,zero-shot,1,1,,0.2
962,QWEN2,0.4405,0.3154,0.2847,0.295,one-shot,3,1,1,0.5
963,PHI3.5_MINI,0.3698,0.2997,0.2845,0.3309,few-shot,3,1,1,0.0
964,MISTRAL_NEMO,0.33,0.3624,0.2844,0.3669,zero-shot,2,1,,0.5
965,LLAMA3,0.3957,0.3127,0.2843,0.3813,few-shot,3,2,1,0.0
966,LLAMA3.2_3B,0.4207,0.2736,0.2839,0.5108,one-shot,2,1,2,1.0
967,PHI3.5_MINI,0.3194,0.323,0.2839,0.3597,many-shot,3,1,2,1.0
968,QWEN2,0.4769,0.3721,0.2833,0.2662,few-shot,3,1,1,0.5
969,GEMMA2-2B,0.3866,0.3068,0.2832,0.3525,few-shot,1,1,2,0.0
970,LLAMA3.1,0.5032,0.2241,0.2831,0.2446,one-shot,1,2,1,0.5
971,LLAMA3.2_3B,0.2941,0.3062,0.2831,0.4676,many-shot,3,2,2,0.0
972,LLAMA3.1,0.3819,0.3399,0.2829,0.4029,few-shot,1,1,1,0.0
973,LLAMA3.2_3B,0.3075,0.3099,0.2827,0.4676,many-shot,3,2,2,0.2
974,MISTRAL_NEMO,0.4497,0.2834,0.2826,0.4388,zero-shot,3,2,,0.2
975,LLAMA3,0.4475,0.2593,0.2825,0.295,few-shot,2,2,2,1.0
976,PHI3.5_MINI,0.3366,0.3292,0.2824,0.3381,many-shot,2,1,2,0.0
977,QWEN2,0.3536,0.3579,0.2823,0.3453,few-shot,2,1,2,0.2
978,LLAMA3,0.3288,0.3182,0.2822,0.482,zero-shot,1,1,,0.5
979,PHI3.5_MINI,0.4311,0.2981,0.282,0.3669,zero-shot,1,2,,0.5
980,PHI3_MEDIUM,0.3089,0.3535,0.2818,0.3669,many-shot,3,2,2,0.5
981,PHI3.5_MINI,0.2915,0.3103,0.2818,0.3813,one-shot,3,1,2,0.2
982,PHI3.5_MINI,0.4345,0.2578,0.2816,0.3022,few-shot,2,2,1,0.5
983,PHI3.5_MINI,0.4724,0.2943,0.2815,0.3525,zero-shot,1,2,,0.0
984,LLAMA3,0.3855,0.4238,0.2814,0.295,one-shot,3,2,1,0.2
985,LLAMA3.2_3B,0.3063,0.2986,0.2813,0.4964,many-shot,2,2,2,0.0
986,PHI3.5_MINI,0.3166,0.3351,0.2812,0.3309,many-shot,2,1,2,0.5
987,MISTRAL_NEMO,0.4536,0.2835,0.2812,0.3669,many-shot,2,2,2,0.0
988,LLAMA3.2_3B,0.3123,0.265,0.2811,0.4676,many-shot,1,1,2,0.5
989,LLAMA3.1,0.3421,0.3048,0.281,0.4173,zero-shot,2,1,,0.5
990,GEMMA2-2B,0.3286,0.351,0.281,0.3669,few-shot,3,1,2,1.0
991,MISTRAL_NEMO,0.4708,0.2782,0.281,0.3237,many-shot,1,2,2,0.2
992,QWEN2,0.369,0.3706,0.2807,0.3165,many-shot,2,1,2,1.0
993,LLAMA3.1,0.3673,0.335,0.2807,0.4101,few-shot,1,1,1,0.2
994,PHI3.5_MINI,0.2905,0.312,0.2805,0.3741,one-shot,3,1,2,0.5
995,LLAMA3.1,0.3207,0.3033,0.2804,0.482,zero-shot,1,1,,0.0
996,PHI3.5_MINI,0.3147,0.3069,0.2803,0.295,one-shot,2,1,2,1.0
997,LLAMA3.2_3B,0.3236,0.2836,0.2801,0.482,many-shot,2,2,2,1.0
998,LLAMA3.1,0.3159,0.2832,0.2801,0.4173,zero-shot,3,1,,1.0
999,LLAMA3.1,0.3213,0.2747,0.2799,0.3741,one-shot,3,2,1,1.0
1000,PHI3.5_MINI,0.4468,0.3128,0.2798,0.3453,many-shot,2,2,1,0.0
1001,QWEN2,0.4343,0.3657,0.2797,0.2302,few-shot,1,1,1,0.5
1002,GEMMA2-2B,0.4125,0.2612,0.2797,0.5468,few-shot,3,2,2,0.2
1003,LLAMA3,0.4017,0.3031,0.2796,0.4388,zero-shot,2,2,,1.0
1004,MISTRAL_NEMO,0.3864,0.3598,0.2796,0.3165,few-shot,2,2,2,1.0
1005,PHI3.5_MINI,0.4485,0.3093,0.2795,0.3453,many-shot,2,2,1,0.2
1006,MISTRAL_NEMO,0.3867,0.3333,0.2794,0.3309,few-shot,1,2,2,0.5
1007,PHI3.5_MINI,0.2878,0.3083,0.2792,0.3741,one-shot,3,1,2,0.0
1008,PHI3.5_MINI,0.3311,0.3216,0.2792,0.3094,many-shot,1,1,2,0.5
1009,LLAMA3.2_3B,0.3788,0.2936,0.2787,0.2374,zero-shot,1,2,,0.5
1010,PHI3.5_MINI,0.3125,0.3213,0.2786,0.3669,many-shot,3,1,2,0.5
1011,LLAMA3.1,0.3445,0.3309,0.2784,0.3957,many-shot,1,1,1,0.2
1012,LLAMA3.1,0.4494,0.2501,0.2781,0.3453,few-shot,2,2,1,1.0
1013,LLAMA3.1,0.3817,0.2482,0.2779,0.4676,many-shot,1,1,2,0.2
1014,LLAMA3.1,0.3799,0.2773,0.2777,0.3381,many-shot,1,2,1,0.2
1015,PHI3.5_MINI,0.4472,0.2726,0.2776,0.2806,few-shot,3,2,1,0.5
1016,LLAMA3.2_3B,0.2806,0.2925,0.2776,0.5396,many-shot,1,2,2,0.5
1017,LLAMA3,0.3229,0.3157,0.2775,0.4604,zero-shot,1,1,,1.0
1018,LLAMA3,0.4063,0.2451,0.277,0.3525,one-shot,1,1,2,0.5
1019,MISTRAL_NEMO,0.4483,0.2792,0.2768,0.3669,many-shot,1,2,2,0.0
1020,MISTRAL_NEMO,0.4936,0.2495,0.2766,0.4388,one-shot,2,1,1,1.0
1021,QWEN2,0.5086,0.3552,0.2766,0.2446,few-shot,2,1,1,0.5
1022,MISTRAL_NEMO,0.5027,0.3533,0.2765,0.3165,few-shot,1,1,1,1.0
1023,PHI3.5_MINI,0.3826,0.2877,0.2764,0.3381,one-shot,2,2,1,0.5
1024,LLAMA3.2_3B,0.404,0.2732,0.2764,0.5468,one-shot,2,1,2,0.0
1025,MISTRAL_NEMO,0.3315,0.271,0.2763,0.3381,few-shot,1,2,1,1.0
1026,LLAMA3.1,0.3754,0.2548,0.2762,0.3741,many-shot,1,2,1,1.0
1027,QWEN2,0.449,0.325,0.2761,0.2446,many-shot,3,1,1,0.5
1028,GEMMA2-27B,0.3283,0.2938,0.2761,0.4676,zero-shot,1,2,,0.5
1029,MISTRAL_NEMO,0.372,0.3484,0.2761,0.3237,many-shot,3,2,2,1.0
1030,LLAMA3.1,0.3098,0.2929,0.276,0.3525,many-shot,1,1,1,1.0
1031,QWEN2,0.5145,0.351,0.2758,0.2302,few-shot,1,1,1,0.2
1032,LLAMA3,0.4065,0.2518,0.2754,0.3525,one-shot,1,1,2,1.0
1033,PHI3.5_MINI,0.3354,0.2543,0.2753,0.4101,zero-shot,1,1,,1.0
1034,LLAMA3.1,0.3883,0.2926,0.2752,0.3525,few-shot,3,1,1,0.5
1035,LLAMA3.1,0.351,0.302,0.2751,0.3741,many-shot,1,1,1,0.0
1036,MISTRAL_NEMO,0.4426,0.3227,0.275,0.3381,few-shot,2,1,1,1.0
1037,LLAMA3.2_3B,0.324,0.3066,0.2749,0.3165,few-shot,3,1,1,0.5
1038,LLAMA3,0.399,0.3838,0.2748,0.2806,one-shot,3,2,1,0.0
1039,LLAMA3.2_3B,0.3194,0.2806,0.2747,0.4676,few-shot,2,1,2,0.2
1040,LLAMA3.2_3B,0.39,0.3406,0.2747,0.3165,one-shot,2,2,1,0.5
1041,MISTRAL_NEMO,0.3618,0.257,0.2746,0.3309,many-shot,1,2,1,1.0
1042,PHI3.5_MINI,0.3933,0.3204,0.2746,0.259,many-shot,1,2,1,1.0
1043,GEMMA2-27B,0.3264,0.2938,0.2745,0.4676,zero-shot,1,2,,0.0
1044,PHI3.5_MINI,0.3318,0.3148,0.2744,0.2734,few-shot,2,1,2,0.2
1045,PHI3.5_MINI,0.3776,0.2855,0.2743,0.3597,one-shot,2,2,1,1.0
1046,PHI3.5_MINI,0.3425,0.312,0.2741,0.259,few-shot,1,1,2,0.5
1047,LLAMA3.1,0.4087,0.2913,0.2741,0.3453,many-shot,2,2,1,1.0
1048,GEMMA2-2B,0.3496,0.2847,0.274,0.3453,one-shot,1,2,2,0.2
1049,LLAMA3.1,0.3172,0.2978,0.2738,0.4748,zero-shot,1,1,,0.2
1050,QWEN2,0.4364,0.3741,0.2738,0.2302,many-shot,2,1,2,0.2
1051,GEMMA2-2B,0.3587,0.3048,0.2736,0.3453,few-shot,1,1,2,0.2
1052,PHI3.5_MINI,0.3234,0.3049,0.2735,0.2878,one-shot,2,1,2,0.2
1053,QWEN2,0.407,0.3488,0.2735,0.2518,many-shot,1,1,2,0.2
1054,PHI3.5_MINI,0.3072,0.2936,0.2733,0.3237,one-shot,3,2,1,1.0
1055,PHI3_MEDIUM,0.4903,0.4075,0.2733,0.2806,many-shot,3,1,2,0.0
1056,PHI3_MEDIUM,0.4903,0.4075,0.2733,0.2806,many-shot,1,1,2,0.0
1057,PHI3_MEDIUM,0.4903,0.4075,0.2733,0.2806,many-shot,2,1,2,0.0
1058,PHI3.5_MINI,0.3827,0.2894,0.273,0.3237,many-shot,3,1,1,0.5
1059,LLAMA3,0.5072,0.2039,0.273,0.3165,few-shot,3,1,2,0.0
1060,LLAMA3,0.5072,0.2039,0.273,0.3165,few-shot,3,1,2,0.2
1061,QWEN2,0.3878,0.346,0.2729,0.2662,many-shot,2,1,2,0.5
1062,QWEN2,0.5235,0.372,0.2728,0.223,many-shot,2,1,1,0.5
1063,LLAMA3,0.3771,0.2731,0.2727,0.3453,one-shot,2,1,2,0.2
1064,QWEN2,0.3872,0.3783,0.2725,0.2734,many-shot,1,1,2,0.5
1065,PHI3.5_MINI,0.3235,0.3064,0.2723,0.2806,one-shot,2,1,2,0.5
1066,PHI3_MEDIUM,0.29,0.2878,0.2723,0.3237,many-shot,2,2,2,1.0
1067,GEMMA2-27B,0.3249,0.2918,0.2721,0.4604,zero-shot,1,2,,0.2
1068,LLAMA3.1,0.3644,0.326,0.2721,0.4173,few-shot,1,1,1,0.5
1069,GEMMA2-2B,0.3966,0.2524,0.2721,0.554,few-shot,1,2,2,0.5
1070,LLAMA3.2_3B,0.2676,0.2989,0.2717,0.4964,many-shot,2,2,2,0.2
1071,LLAMA3.1,0.354,0.2517,0.2715,0.4748,zero-shot,3,1,,0.2
1072,GEMMA2-2B,0.5287,0.2493,0.2714,0.5252,few-shot,1,2,1,0.0
1073,PHI3.5_MINI,0.3748,0.283,0.2711,0.3381,one-shot,2,2,1,0.2
1074,PHI3_MEDIUM,0.3853,0.3763,0.271,0.259,few-shot,3,1,2,0.0
1075,PHI3_MEDIUM,0.3853,0.3763,0.271,0.259,few-shot,2,1,2,0.0
1076,GEMMA2-2B,0.3488,0.3159,0.271,0.2878,one-shot,1,1,2,1.0
1077,PHI3_MEDIUM,0.3853,0.3763,0.271,0.259,few-shot,1,1,2,0.0
1078,PHI3.5_MINI,0.3902,0.279,0.2708,0.3237,one-shot,2,2,1,0.0
1079,GEMMA2-2B,0.3438,0.2849,0.2708,0.3453,one-shot,1,2,2,0.0
1080,LLAMA3,0.3472,0.2873,0.2706,0.4173,one-shot,1,2,1,1.0
1081,LLAMA3.1,0.3119,0.2958,0.2705,0.4676,zero-shot,1,1,,0.5
1082,MISTRAL_NEMO,0.3808,0.2835,0.2704,0.3597,many-shot,1,2,2,0.5
1083,GEMMA2-2B,0.315,0.2624,0.2698,0.4748,few-shot,3,2,1,0.2
1084,LLAMA3.1,0.3627,0.2424,0.2698,0.3885,many-shot,1,1,2,1.0
1085,LLAMA3.1,0.3342,0.3096,0.2698,0.3813,zero-shot,2,1,,0.0
1086,LLAMA3.2_3B,0.3187,0.273,0.2697,0.4532,few-shot,3,2,2,0.5
1087,QWEN2,0.4602,0.3453,0.2696,0.223,few-shot,1,1,1,0.0
1088,QWEN2,0.5307,0.3775,0.2695,0.2302,many-shot,2,1,1,0.0
1089,QWEN2,0.3202,0.3625,0.2694,0.3094,few-shot,1,1,2,1.0
1090,MISTRAL_NEMO,0.324,0.2562,0.2692,0.3669,many-shot,1,2,1,0.5
1091,GEMMA2-2B,0.3103,0.3578,0.269,0.3453,few-shot,2,1,1,0.2
1092,PHI3.5_MINI,0.3787,0.2707,0.2689,0.3165,one-shot,1,2,1,1.0
1093,LLAMA3.2_3B,0.2611,0.3145,0.2689,0.4317,many-shot,3,2,2,1.0
1094,LLAMA3,0.3745,0.2676,0.2689,0.3381,one-shot,2,1,2,0.0
1095,PHI3_MEDIUM,0.355,0.3746,0.2688,0.2662,few-shot,3,1,2,0.2
1096,PHI3.5_MINI,0.2963,0.305,0.2687,0.3309,many-shot,1,1,2,1.0
1097,LLAMA3,0.369,0.3043,0.2684,0.3957,one-shot,2,2,1,0.0
1098,LLAMA3.2_3B,0.321,0.288,0.2678,0.4532,one-shot,2,2,2,1.0
1099,LLAMA3,0.3741,0.3207,0.2677,0.3885,one-shot,1,2,1,0.2
1100,LLAMA3.2_3B,0.3233,0.2769,0.2663,0.5468,one-shot,3,1,2,0.2
1101,PHI3_MEDIUM,0.379,0.3992,0.2663,0.259,few-shot,2,1,2,0.2
1102,LLAMA3.1,0.3379,0.2735,0.2663,0.4317,few-shot,2,1,1,0.2
1103,GEMMA2-2B,0.3181,0.3278,0.2661,0.3597,one-shot,1,2,1,1.0
1104,GEMMA2-2B,0.3198,0.2772,0.2661,0.3525,zero-shot,3,1,,0.0
1105,MISTRAL_NEMO,0.4816,0.2548,0.2657,0.4964,one-shot,3,1,1,1.0
1106,GEMMA2-2B,0.4012,0.2466,0.2656,0.5468,few-shot,1,2,2,1.0
1107,GEMMA2-2B,0.3406,0.348,0.2656,0.2446,one-shot,1,1,1,0.2
1108,PHI3.5_MINI,0.4053,0.2322,0.2653,0.3165,few-shot,2,2,1,1.0
1109,QWEN2,0.5459,0.3242,0.2653,0.2446,one-shot,1,1,1,1.0
1110,LLAMA3,0.3669,0.321,0.2649,0.4029,one-shot,1,2,1,0.0
1111,PHI3_MEDIUM,0.3326,0.2507,0.2648,0.3094,one-shot,1,2,2,1.0
1112,QWEN2,0.418,0.2638,0.2648,0.3022,one-shot,3,1,1,1.0
1113,GEMMA2-2B,0.3563,0.2668,0.2647,0.295,one-shot,2,2,2,0.5
1114,LLAMA3.1,0.3294,0.2892,0.2646,0.3741,zero-shot,2,1,,0.2
1115,LLAMA3,0.4042,0.2566,0.2646,0.2446,one-shot,2,2,2,1.0
1116,GEMMA2-2B,0.3407,0.348,0.2645,0.2446,one-shot,1,1,1,0.0
1117,LLAMA3,0.415,0.2487,0.264,0.2446,one-shot,2,2,2,0.0
1118,PHI3.5_MINI,0.3771,0.2645,0.264,0.3094,one-shot,1,2,1,0.0
1119,LLAMA3.2_3B,0.2918,0.2823,0.2639,0.5396,one-shot,3,1,2,0.5
1120,MISTRAL_NEMO,0.4153,0.2543,0.2639,0.4388,zero-shot,3,2,,0.5
1121,QWEN2,0.4364,0.3341,0.2639,0.2518,many-shot,1,1,2,0.0
1122,PHI3.5_MINI,0.3402,0.2795,0.2638,0.2806,few-shot,2,1,2,1.0
1123,PHI3.5_MINI,0.3679,0.268,0.2636,0.3094,one-shot,1,2,1,0.2
1124,GEMMA2-2B,0.3083,0.2899,0.2636,0.3741,one-shot,1,2,1,0.5
1125,LLAMA3,0.3671,0.2763,0.2636,0.4029,one-shot,2,2,1,0.2
1126,LLAMA3,0.3511,0.3071,0.2635,0.3309,one-shot,2,1,2,0.5
1127,QWEN2,0.4877,0.3161,0.2635,0.259,many-shot,3,1,1,0.0
1128,PHI3.5_MINI,0.3449,0.2608,0.2633,0.3381,zero-shot,3,1,,0.2
1129,QWEN2,0.3113,0.3096,0.2633,0.3022,many-shot,3,1,2,1.0
1130,LLAMA3.1,0.3868,0.2801,0.2632,0.2734,many-shot,2,2,1,0.2
1131,LLAMA3.2_3B,0.3078,0.2446,0.2632,0.4604,one-shot,1,1,2,0.5
1132,PHI3.5_MINI,0.3257,0.2374,0.2626,0.4029,zero-shot,1,1,,0.2
1133,PHI3.5_MINI,0.3257,0.2374,0.2626,0.4029,zero-shot,1,1,,0.5
1134,PHI3.5_MINI,0.3163,0.3071,0.2623,0.259,few-shot,2,1,2,0.0
1135,LLAMA3.2_3B,0.3634,0.2132,0.2617,0.3669,few-shot,2,2,1,0.2
1136,PHI3.5_MINI,0.326,0.2354,0.2617,0.3957,zero-shot,1,1,,0.0
1137,GEMMA2-2B,0.3759,0.2925,0.2616,0.3309,one-shot,3,2,1,0.2
1138,LLAMA3.2_3B,0.378,0.2741,0.2614,0.3525,few-shot,2,2,1,0.5
1139,LLAMA3.2_3B,0.3021,0.2789,0.2612,0.554,one-shot,3,1,2,0.0
1140,LLAMA3.2_3B,0.5477,0.3374,0.2612,0.2014,few-shot,2,1,1,0.0
1141,PHI3.5_MINI,0.4473,0.2877,0.2611,0.2806,many-shot,1,2,1,0.2
1142,PHI3.5_MINI,0.3987,0.2387,0.2608,0.2158,many-shot,2,1,1,1.0
1143,PHI3.5_MINI,0.4239,0.2281,0.2605,0.295,few-shot,3,2,1,0.0
1144,MISTRAL_NEMO,0.4001,0.3037,0.2605,0.3309,few-shot,1,2,2,1.0
1145,MISTRAL_NEMO,0.3675,0.2996,0.2602,0.5252,many-shot,3,1,1,0.2
1146,PHI3.5_MINI,0.3701,0.2533,0.2601,0.3022,few-shot,2,2,1,0.2
1147,QWEN2,0.5972,0.2791,0.2601,0.223,one-shot,1,1,2,1.0
1148,LLAMA3,0.3267,0.2341,0.2599,0.4173,one-shot,3,1,2,1.0
1149,LLAMA3,0.4116,0.2414,0.2599,0.2374,one-shot,3,2,2,0.2
1150,PHI3.5_MINI,0.2845,0.2997,0.2598,0.3381,many-shot,2,1,2,1.0
1151,LLAMA3.1,0.2997,0.2798,0.2598,0.3525,many-shot,1,1,1,0.5
1152,PHI3.5_MINI,0.3679,0.2597,0.2598,0.2518,few-shot,1,1,2,1.0
1153,PHI3.5_MINI,0.3445,0.2439,0.2597,0.3309,zero-shot,3,1,,1.0
1154,PHI3.5_MINI,0.3411,0.2568,0.2593,0.3237,zero-shot,3,1,,0.5
1155,GEMMA2-2B,0.3367,0.2625,0.2591,0.295,one-shot,2,2,2,0.2
1156,GEMMA2-2B,0.3591,0.248,0.2591,0.554,few-shot,2,2,1,0.5
1157,MISTRAL_NEMO,0.4425,0.2244,0.259,0.4748,zero-shot,1,2,,0.5
1158,LLAMA3.2_3B,0.3444,0.3589,0.2589,0.3165,one-shot,2,2,1,0.2
1159,LLAMA3,0.3282,0.2771,0.2585,0.3885,zero-shot,2,1,,0.5
1160,LLAMA3.2_3B,0.3533,0.3566,0.2584,0.3094,one-shot,2,2,1,0.0
1161,LLAMA3.2_3B,0.4551,0.2609,0.2582,0.5036,one-shot,2,1,2,0.5
1162,GEMMA2-2B,0.3328,0.2485,0.2581,0.4676,zero-shot,3,2,,1.0
1163,LLAMA3,0.4258,0.2414,0.258,0.2374,one-shot,3,2,2,0.0
1164,MISTRAL_NEMO,0.204,0.3661,0.2579,0.2662,few-shot,2,1,2,0.2
1165,LLAMA3.2_3B,0.3301,0.3144,0.2577,0.295,many-shot,1,2,1,0.5
1166,GEMMA2-2B,0.3898,0.2429,0.2575,0.5468,few-shot,2,2,2,0.2
1167,PHI3.5_MINI,0.4433,0.2857,0.2574,0.2734,many-shot,1,2,1,0.0
1168,PHI3.5_MINI,0.346,0.2866,0.2574,0.223,few-shot,1,1,2,0.2
1169,LLAMA3,0.3197,0.309,0.2572,0.3957,zero-shot,2,1,,0.0
1170,PHI3.5_MINI,0.289,0.3054,0.257,0.3094,one-shot,3,1,1,0.0
1171,GEMMA2-2B,0.3891,0.2429,0.257,0.5468,few-shot,2,2,2,0.0
1172,LLAMA3.2_3B,0.3127,0.248,0.257,0.5252,few-shot,2,2,2,1.0
1173,LLAMA3,0.4413,0.2141,0.2569,0.3237,few-shot,3,1,2,1.0
1174,LLAMA3.1,0.3477,0.2738,0.2568,0.3381,few-shot,3,1,1,1.0
1175,PHI3.5_MINI,0.2888,0.3054,0.2567,0.3094,one-shot,3,1,1,0.2
1176,LLAMA3.2_3B,0.3065,0.3437,0.2566,0.3309,one-shot,3,1,1,0.2
1177,QWEN2,0.544,0.3027,0.2561,0.2374,one-shot,1,1,2,0.0
1178,LLAMA3,0.3317,0.2948,0.2557,0.3741,one-shot,2,2,1,1.0
1179,LLAMA3.2_3B,0.2517,0.2744,0.2555,0.4748,many-shot,2,2,2,0.5
1180,LLAMA3.1,0.327,0.2533,0.2555,0.3525,one-shot,1,1,1,1.0
1181,GEMMA2-2B,0.3939,0.2483,0.2554,0.3094,one-shot,1,2,2,1.0
1182,LLAMA3.1,0.3215,0.2889,0.2554,0.3741,few-shot,2,1,1,1.0
1183,MISTRAL_NEMO,0.5845,0.32,0.2554,0.3237,one-shot,1,1,1,0.2
1184,LLAMA3,0.3189,0.307,0.2553,0.3885,zero-shot,2,1,,0.2
1185,LLAMA3.2_3B,0.3061,0.2523,0.2549,0.4748,few-shot,2,1,2,0.0
1186,LLAMA3.2_3B,0.3354,0.2642,0.2548,0.3669,few-shot,2,1,2,1.0
1187,MISTRAL_NEMO,0.3343,0.2357,0.2546,0.2878,many-shot,2,2,1,1.0
1188,LLAMA3,0.3716,0.2796,0.2546,0.2734,one-shot,3,1,1,0.5
1189,LLAMA3.1,0.3473,0.2144,0.2545,0.3237,few-shot,1,2,1,1.0
1190,LLAMA3.1,0.3234,0.3112,0.2544,0.3381,few-shot,3,1,1,0.0
1191,PHI3.5_MINI,0.4347,0.2346,0.2543,0.2878,few-shot,2,2,1,0.0
1192,GEMMA2-2B,0.2762,0.2841,0.2542,0.4029,one-shot,3,1,2,0.5
1193,PHI3.5_MINI,0.432,0.2431,0.2542,0.2662,few-shot,1,2,1,0.5
